"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/Jonger dan 5 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/5 tot 10 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/10 tot 15 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/15 tot 20 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/20 tot 25 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/25 tot 45 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/45 tot 65 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/65 tot 80 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/80 jaar of ouder (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2020";"Oost-Groningen (CR)";"  135208";"     4.1";"     4.8";"     5.3";"     5.8";"     4.9";"    20.0";"    30.4";"    18.6";"     6.0";"     181"
"2020";"Delfzijl en omgeving (CR)";"   45857";"     4.2";"     4.7";"     5.2";"     5.9";"     4.9";"    19.9";"    30.5";"    18.6";"     6.1";"     171"
"2020";"Overig Groningen (CR)";"  404801";"     4.4";"     4.6";"     4.8";"     6.3";"    11.0";"    25.8";"    25.3";"    13.7";"     4.1";"     309"
"2020";"Noord-Friesland (CR)";"  320647";"     4.8";"     5.2";"     5.7";"     6.4";"     6.6";"    22.8";"    27.7";"    15.9";"     4.9";"     216"
"2020";"Zuidwest-Friesland (CR)";"  141551";"     4.6";"     5.3";"     6.0";"     6.6";"     4.9";"    20.4";"    29.3";"    17.4";"     5.4";"     162"
"2020";"Zuidoost-Friesland (CR)";"  187759";"     4.6";"     5.3";"     5.8";"     6.3";"     5.1";"    21.3";"    29.3";"    16.6";"     5.6";"     192"
"2020";"Noord-Drenthe (CR)";"  192369";"     4.4";"     5.1";"     5.7";"     6.3";"     4.6";"    20.1";"    30.2";"    17.7";"     5.8";"     185"
"2020";"Zuidoost-Drenthe (CR)";"  167904";"     4.2";"     4.7";"     5.4";"     6.1";"     5.2";"    20.4";"    30.4";"    18.0";"     5.6";"     185"
"2020";"Zuidwest-Drenthe (CR)";"  133409";"     4.6";"     5.2";"     5.8";"     6.4";"     5.2";"    21.4";"    28.7";"    17.0";"     5.7";"     194"
"2020";"Noord-Overijssel (CR)";"  374659";"     5.6";"     6.0";"     6.3";"     6.6";"     6.1";"    24.6";"    26.8";"    13.7";"     4.4";"     265"
"2020";"Zuidwest-Overijssel (CR)";"  156683";"     4.8";"     5.3";"     5.7";"     6.3";"     5.9";"    23.5";"    28.9";"    14.6";"     4.9";"     377"
"2020";"Twente (CR)";"  631064";"     4.7";"     5.2";"     5.9";"     6.6";"     6.6";"    23.0";"    27.7";"    15.4";"     5.0";"     424"
"2020";"Veluwe (CR)";"  695500";"     5.4";"     5.7";"     5.9";"     6.5";"     6.3";"    23.1";"    27.2";"    15.0";"     5.0";"     380"
"2020";"Achterhoek (CR)";"  401193";"     4.1";"     4.7";"     5.6";"     6.5";"     5.0";"    19.7";"    30.7";"    18.0";"     5.7";"     260"
"2020";"Arnhem/Nijmegen (CR)";"  742694";"     4.6";"     4.9";"     5.2";"     6.0";"     7.1";"    24.5";"    28.1";"    14.9";"     4.6";"     829"
"2020";"Zuidwest-Gelderland (CR)";"  246565";"     5.2";"     5.5";"     6.0";"     6.7";"     5.7";"    22.5";"    29.6";"    14.9";"     4.1";"     355"
"2020";"Utrecht (CR)";" 1354834";"     5.5";"     5.7";"     5.9";"     6.2";"     6.4";"    26.6";"    26.6";"    13.0";"     4.1";"     912"
"2020";"Kop van Noord-Holland (CR)";"  377769";"     4.7";"     5.1";"     5.6";"     6.2";"     5.5";"    22.3";"    28.9";"    17.1";"     4.6";"     349"
"2020";"Alkmaar en omgeving (CR)";"  248993";"     4.7";"     5.3";"     5.6";"     6.2";"     5.1";"    23.0";"    28.4";"    16.6";"     5.0";"     858"
"2020";"IJmond (CR)";"  199108";"     4.8";"     5.1";"     5.3";"     6.0";"     5.7";"    22.5";"    29.6";"    15.4";"     5.6";"    1246"
"2020";"Agglomeratie Haarlem (CR)";"  230823";"     5.3";"     5.8";"     5.7";"     5.4";"     4.7";"    25.8";"    27.4";"    14.6";"     5.3";"    2094"
"2020";"Zaanstreek (CR)";"  173064";"     5.4";"     5.3";"     5.5";"     5.9";"     5.7";"    25.1";"    28.2";"    14.3";"     4.5";"    1539"
"2020";"Groot-Amsterdam (CR)";" 1392695";"     5.1";"     5.0";"     5.0";"     5.3";"     7.1";"    31.7";"    25.8";"    11.6";"     3.4";"    1954"
"2020";"Het Gooi en Vechtstreek (CR)";"  257075";"     5.3";"     5.7";"     5.9";"     6.1";"     4.5";"    22.4";"    28.6";"    15.7";"     5.9";"    1305"
"2020";"Agglomeratie Leiden en Bollenstreek (CR)";"  430358";"     4.8";"     5.2";"     5.4";"     6.0";"     7.3";"    24.7";"    27.3";"    14.5";"     4.7";"    1557"
"2020";"Agglomeratie 's-Gravenhage (CR)";"  883720";"     5.6";"     5.8";"     5.7";"     5.8";"     6.1";"    27.8";"    26.6";"    12.6";"     4.2";"    3512"
"2020";"Delft en Westland (CR)";"  233311";"     4.8";"     4.9";"     5.0";"     5.9";"     9.5";"    26.3";"    25.7";"    13.5";"     4.3";"    1544"
"2020";"Oost-Zuid-Holland (CR)";"  334617";"     5.3";"     5.5";"     5.7";"     6.2";"     5.6";"    23.9";"    27.9";"    15.1";"     4.6";"     708"
"2020";"Groot-Rijnmond (CR)";" 1454720";"     5.3";"     5.5";"     5.4";"     5.8";"     6.5";"    26.7";"    26.7";"    13.7";"     4.5";"    1222"
"2020";"Zuidoost-Zuid-Holland (CR)";"  371970";"     5.4";"     5.8";"     5.8";"     6.2";"     5.8";"    24.1";"    27.2";"    14.6";"     5.0";"    1039"
"2020";"Zeeuwsch-Vlaanderen (CR)";"  105192";"     4.1";"     4.5";"     4.8";"     5.3";"     4.4";"    20.7";"    30.1";"    19.3";"     6.7";"     144"
"2020";"Overig Zeeland (CR)";"  278296";"     4.9";"     5.3";"     5.6";"     6.0";"     5.4";"    21.7";"    28.1";"    17.2";"     5.8";"     265"
"2020";"West-Noord-Brabant (CR)";"  635904";"     4.7";"     5.0";"     5.3";"     5.8";"     5.9";"    23.3";"    28.9";"    16.1";"     5.0";"     522"
"2020";"Midden-Noord-Brabant (CR)";"  483183";"     4.8";"     5.1";"     5.3";"     6.1";"     7.0";"    24.6";"    27.5";"    15.0";"     4.6";"     539"
"2020";"Noordoost-Noord-Brabant (CR)";"  663257";"     4.7";"     5.1";"     5.5";"     6.1";"     5.7";"    23.2";"    29.3";"    15.6";"     4.9";"     490"
"2020";"Zuidoost-Noord-Brabant (CR)";"  780611";"     4.7";"     5.0";"     5.2";"     5.9";"     6.2";"    25.0";"    27.9";"    14.9";"     5.1";"     543"
