"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|Jonger dan 5 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|5 tot 10 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|10 tot 15 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|15 tot 20 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|20 tot 25 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|25 tot 45 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|45 tot 65 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|65 tot 80 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|80 jaar of ouder";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid"
"Regio's";"Perioden";"aantal";"%";"%";"%";"%";"%";"%";"%";"%";"%";"aantal inwoners per km²"
"Groningen";"2020";"585866";"4,3";"4,6";"5,0";"6,1";"9,1";"24,0";"26,9";"15,2";"4,7";"252"
"Friesland";"2020";"649957";"4,7";"5,3";"5,8";"6,4";"5,8";"21,9";"28,5";"16,4";"5,2";"195"
"Drenthe";"2020";"493682";"4,4";"5,0";"5,6";"6,2";"4,9";"20,6";"29,9";"17,6";"5,7";"188"
"Overijssel";"2020";"1162406";"5,0";"5,5";"6,0";"6,6";"6,3";"23,6";"27,6";"14,7";"4,8";"350"
"Flevoland";"2020";"423021";"5,9";"6,2";"6,5";"6,8";"6,0";"26,4";"27,9";"11,4";"2,7";"300"
"Gelderland";"2020";"2085952";"4,8";"5,2";"5,6";"6,3";"6,3";"22,9";"28,5";"15,5";"4,9";"420"
"Utrecht";"2020";"1354834";"5,5";"5,7";"5,9";"6,2";"6,4";"26,6";"26,6";"13,0";"4,1";"912"
"Noord-Holland";"2020";"2879527";"5,1";"5,2";"5,3";"5,7";"6,1";"27,4";"27,2";"13,8";"4,3";"1081"
"Zuid-Holland";"2020";"3708696";"5,3";"5,5";"5,5";"5,9";"6,5";"26,2";"26,8";"13,7";"4,5";"1374"
"Zeeland";"2020";"383488";"4,6";"5,1";"5,4";"5,8";"5,2";"21,4";"28,7";"17,8";"6,1";"215"
"Noord-Brabant";"2020";"2562955";"4,7";"5,0";"5,3";"6,0";"6,2";"24,1";"28,4";"15,4";"4,9";"522"
"Limburg";"2020";"1117201";"4,0";"4,3";"4,6";"5,5";"6,0";"21,8";"30,0";"18,0";"5,9";"520"
"Bron: CBS"
